region,suc,discipline,passers_2010,passers_2011,passers_2012,passers_total,takers_2010,takers_2011,takers_2012,takers_total
MIMAROPA,Romblon State University,LET-Secondary,41,72,70,183,237,254,243,734
MIMAROPA,Romblon State University,Mechanical Engineering,7,4,9,20,19,15,24,58
MIMAROPA,Romblon State University,Total,121,206,391,718,913,913,918,2744
MIMAROPA,Western Philippines University,Agricultural Engineering,0,3,1,4,3,3,1,7
MIMAROPA,Western Philippines University,Agriculture,6,2,3,11,12,11,12,35
MIMAROPA,Western Philippines University,Civil Engineering,10,5,1,16,18,15,17,50
MIMAROPA,Western Philippines University,Criminology,122,97,135,354,214,188,273,675
MIMAROPA,Western Philippines University,Electrical Engineering,1,4,4,9,2,10,10,22
MIMAROPA,Western Philippines University,Environmental Planning,-,-,1,1,-,-,1,1
MIMAROPA,Western Philippines University,Fisheries Technology,3,2,3,8,6,5,12,23
MIMAROPA,Western Philippines University,Forestry,0,1,5,6,1,1,10,12
MIMAROPA,Western Philippines University,LET-Elementary,28,16,107,151,66,42,137,245
MIMAROPA,Western Philippines University,LET-Secondary,25,52,65,142,75,116,140,331
MIMAROPA,Western Philippines University,Marine Engineering,3,1,-,4,3,2,-,5
MIMAROPA,Western Philippines University,Marine Transportation,1,0,-,1,1,3,-,4
MIMAROPA,Western Philippines University,Mechanical Engineering,3,-,2,5,4,-,4,8
MIMAROPA,Western Philippines University,Social Work,11,10,22,43,16,17,36,69
MIMAROPA,Western Philippines University,Total,213,193,349,755,421,413,653,1487
MIMAROPA,MIMAROPA,Total,1052,1356,2429,4837,3945,4496,5400,13841
